Title,Author,Abstract,Link,Number,Date,Source,est_PubDate
Economic Growth under Transformative AI,"Philip Trammell, Anton Korinek","Industrialized countries have long seen relatively stable growth in output per capita and a stable labor share. AI may be transformative, in the sense that it may break one or both of these stylized facts. This review outlines the ways this may happen by placing several strands of the literature on AI and growth within a common framework. We first evaluate models in which AI increases output production, for example via increases in capital's substitutability for labor or task automation, capturing the notion that AI will let capital “self-replicate”. This typically speeds up growth and lowers the labor share. We then consider models in which AI increases knowledge production, capturing the notion that AI will let capital “self-improve”, speeding growth further. Taken as a whole, the literature suggests that sufficiently advanced AI is likely to deliver both effects.",https://www.nber.org/papers/w31815,31815,Oct-23,NBER,10/30/2023
Environmental Consequences of Hydrocarbon Infrastructure Policy,"Thomas Covert, Ryan Kellogg","We study policies that aim to “keep carbon in the ground” by blocking fossil fuel infrastructure investment. Our analysis relies on a model of hydrocarbon production and transportation, incorporating substitution between pipeline infrastructure and flexible alternatives, like crude-byrail. We apply the model to the Dakota Access Pipeline (DAPL), which moves oil from North Dakota to Texas and was controversially completed in 2017. Had DAPL’s construction been enjoined, we estimate that 81% of the blocked pipeline flows would move by rail instead. This substitution induces both private costs and local environmental damage, since rail transport imposes greater local externalities than pipelines.",https://bfi.uchicago.edu/working-paper/environmental-consequences-of-hydrocarbon-infrastructure-policy/,2023-138,25-Oct-23,BFI,10/30/2023
Expectations and the neutrality of interest rates, John Cochrane,"Our central banks set interest rate targets, and do not even pretend to control money supplies. How do interest rates affect inflation? We finally have a complete theory of inflation under interest rate targets and unconstrained liquidity. Its long-run properties mirror those of monetary theory: Inflation can be stable and determinate under interest rate targets, including a peg, analogous to a k-percent rule.",https://www.bis.org/publ/work1136.htm,https://www.bis.org/publ/work1136,10/26/2023,BIS,10/30/2023
GDP revisions are not cool: the impact of statistical agencies’ trade-oﬀ,"Stylianos Asimakopoulos, Magdalena Lalik, Joan Paredes, José Salvado García","Oﬃcial estimates of economic growth are regularly revised and therefore forecasts for GDP growth are done on the basis of ever-changing data. The economic literature has intensively studied the properties of those revisions and their implications for forecasting models. However, it is much less known about the reasons for Statistical Agencies (SAs) to revise their estimates. In order to be timely and reliable, SAs have an explicit interest in not revising their initial GDP estimates too much, while they are much more open to revise GDP components over time. More than a curiosity, we exploit this resulting cross-correlation of GDP components revisions to build a model to better forecast GDP.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2857~073085df17.en.pdf?9e3574dcc780199144161f88d7e297dc,2857,30-Oct-23,ECB,10/30/2023
Heterogeneous Agent Trade,Michael E. Waugh,"This paper studies the implications of household heterogeneity for trade. I develop a model where household heterogeneity is induced via incomplete markets and results in heterogeneous price elasticities. Conditional on exposure to trade, heterogeneous price elasticities imply that different households value price changes differently, and thus rich and poor households experience different gains from trade. I calibrate the model to match bilateral trade flows and micro-facts about household-level expenditure patterns and elasticities. I find gains from trade that are pro-poor and that the average gains from trade are substantially larger than representative agent benchmarks.",https://www.nber.org/papers/w31810,31810,Oct-23,NBER,10/30/2023
Hidden Exposure: Measuring US Supply Chain Reliance,"Richard Baldwin, Rebecca Freeman, Angelos Theodorakopoulos","Supply chain problems, previously relegated to specialized journals, now appear in G7 Leaders’ Communiqués. Our paper looks at three core elements of the problems: measurement of the links that expose supply chains to disruptions, the nature of the shocks that cause the disruptions, and the criteria for policy to mitigate the impact of disruptions. Utilizing global input-output data, we show that US exposure to foreign suppliers, and particularly to China, is ‘hidden’ in the sense that it is much larger than what conventional trade data suggest. However, at the macro level, exposure remains relatively modest, given that over 80% of US industrial inputs are sourced domestically. We argue that many recent shocks to supply chains have been systemic rather than idiosyncratic. Moreover, systemic shocks are likely to arise from climate change, geoeconomic tensions, and digital disruptions. Our principal conclusion is that concerns regarding supply chain disruptions, and policies to address them, should focus on individual products, rather than the whole manufacturing sector.",https://www.nber.org/papers/w31820,31820,Oct-23,NBER,10/30/2023
How Does Medicaid Expansion Impact Income Support Program Participation and Employment for Different Types of People with Disabilities?,"Ari Ne&#039;eman, Nicole Maestas","Social Security Disability Insurance and Supplemental Security Income, the United States’ two primary disability income support programs, each offer a pathway to public health insurance in addition to cash benefits. This implies that expansions in public health insurance availability, such as the ACA’s Medicaid expansions, may impact disability program participation and employment of people with disabilities. However, prior research has yielded mixed results as to the impact of Medicaid expansion on these outcomes. Using a stacked difference-in-differences design and data from the Current Population Survey, we demonstrate that the ACA’s Medicaid expansions increased SSDI receipt among individuals ages 50-64 with physical, self-care and independent living disabilities, consistent with a “job unlock” mechanism. Exploiting the longitudinal nature of the CPS, we show that treatment effects are heterogeneous and concentrated among persons with ongoing disabilities (as opposed to new disabilities) as reported on the CPS’s 6-question functional impairment sequence. We also show suggestive evidence of a reduction in SSI, but find that it is sensitive to specification and data preparation choices, which we illustrate through comparison with other recent work. Effects on employment are inconclusive. Our findings provide further evidence of work capacity among SSDI beneficiaries.",https://www.nber.org/papers/w31816,31816,Oct-23,NBER,10/30/2023
Impacts of Home-Care Subsidies: Evidence from Quasi-Random Assignment,"Yuval Ofek-Shanny, Avner Strulov-Shlain, Dan Zeltzer","We study the impact of subsidizing home-based long-term care on recipients’ health and the labor supply of their working-age children. We use administrative data from Israel on the universe of welfare benefit applications linked with tax records of applicants and their adult children. To address the endogeneity of benefit recipients’ health status, we instrument for benefit receipt using the leniency of randomly assigned evaluators who assess the applicant’s functional status and determine benefit eligibility. We find that for compliers – applicants who receive subsidies only from more lenient evaluators – subsidizing home-based care has large adverse effects on recipient health but no detectable effects on the labor market outcomes of their children. The results are consistent with the crowd-out of self-care for the marginal recipient, highlighting the need to assess the heterogeneous effects of home-care subsidies.",https://bfi.uchicago.edu/working-paper/impacts-of-home-care-subsidies-evidence-from-quasi-random-assignment/,2023-139,24-Oct-23,BFI,10/30/2023
Inclusive GovTech: Enhancing Efficiency and Equity Through Public Service Digitalization,Manabu Nose,"How could the GovTech improve budget processes and execution efficiency? Could the GovTech strengthen redistributive function of public expenditure? Based on an event-study method, this paper finds that the introduction of digital budget payments and e-procurement could significantly enhance budget transparency and help expand the coverage of social assistance to reach the most vulnerable population. Exploiting staggered adoption of digital budget payments, a synthetic control regression identifies meaningful increase in pre-tax income shares among the bottom 50th percentile and female workers, especially for emerging market and developing countries, with effects materializing gradually over 10-year period. The paper delves into the potential mechanism driving these equity benefits, highlighting the reduction in business informality as a primary channel. However, the paper emphasizes that the mere adoption of GovTech strategies or digital technologies is insufficient to unlock its full potential. The outcomes are intricately linked to supporting policies, regulations, organizational and system integration, and robust digital connectivity. The paper underscores that inter-agency coordination facilitated by a dedicated GovTech institution emerges as a critical factor for reaping both efficiency and equity gains from GovTech initiatives.",https://www.imf.org/en/Publications/WP/Issues/2023/10/27/Inclusive-GovTech-Enhancing-Efficiency-and-Equity-Through-Public-Service-Digitalization-540984,WPIEA2023226,"Fri, 27 Oct 2023 ",IMF,10/30/2023
International portfolio frictions," Wenxin Du, Alessandro Fontana, Petr Jakubik, Ralph S J Koijen, Hyun Song Shin","We study patterns and implications of global asset allocations of European insurers and banks using newly available supervisory data. We show that the total assets of insurance companies and pension funds (ICPF) far exceed the amount of government bonds outstanding in Europe, and that countries with a large ICPF sector tend to have a large corporate bond market.",https://www.bis.org/publ/work1137.htm,https://www.bis.org/publ/work1137,10/26/2023,BIS,10/30/2023
Laffer’s Day in Court: The Revenue Effects  of Criminal Justice Fees and Fines,"Samuel Norris, Evan K. Rose","Many jurisdictions levy sizable fines and fees (legal financial obligations, or LFOs) on criminal defendants. Proponents argue LFOs are a “tax on crime” that funds courts and provides deterrence; opponents argue they do neither. We examine the fiscal implications of lowering LFOs. Incentives to default generate a “Laffer” curve with revenue eventually decreasing in LFOs. Using detailed administrative data, however, we find few defendants demonstrably on the right-hand side of the curve. Those who are tend to be poor, Black, and charged with felonies. As a result, decreasing LFOs for the average defendant would come at substantial cost to governments.",https://bfi.uchicago.edu/working-paper/laffers-day-in-court-the-revenue-effects-of-criminal-justice-fees-and-fines/,2023-137,23-Oct-23,BFI,10/30/2023
Liquidity constraints and demand for maturity the case of mortgages,"Alessandro Ferrari, Marco Loseto","Using administrative data on mortgages issued in Italy between 2018 and 2019,this paper estimates loan demand elasticities to maturity and interest rate. We findthat households are responsive to both contract terms: a 1% decrease in interestrate increases the average loan size by 0.22% whereas a commensurable increasein maturity increases loan demand by 0.30%. This evidence suggests that creditconstraints are relevant in this market. Things change substantially when movingalong the distribution of contract maturities: short term borrowers are unresponsive to their contract lengthwhile maturity elasticities are higher for long term borrowers.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2859~9fd6df6d10.en.pdf?e73f5fe9e932a3f87d984fbe237e13ac,2859,31-Oct-23,ECB,10/31/2023
Long Live Globalization: Geopolitical Shocks and International Trade,Serhan Cevik,"Are we really witnessing the death of globalization? A multitude of shocks over the past three years has unsettled the conventional wisdom on economic integration and fueled widespread calls for protectionist and nationalist policies. Using an extensive dataset with more than 4 million observations, I develop an augmented gravity model of bilateral trade flows among 59,049 country-pairs over the period 1948–2021 and find that the much-debated geopolitical alignment between countries has contradictory and statistically insignificant effects on trade, depending on the level of economic development. Moreover, the economic magnitude of this effect is not as important as income or geographic distance and it diminishes significantly when extreme outliers are removed from the sample. The empirical analysis presented in this paper also confirms that the level of income in both origin and destination countries has a positive impact on trade, while the greater the distance between countries, the smaller the flow of bilateral trade due to higher trade costs. Cultural similarities and historical ties are also important in shaping trade flows, just like trade agreements that tend to lead to higher level of international trade.",https://www.imf.org/en/Publications/WP/Issues/2023/10/27/Long-Live-Globalization-Geopolitical-Shocks-and-International-Trade-540832,WPIEA2023225,"Fri, 27 Oct 2023 ",IMF,10/30/2023
Micro-Assessment of Macroprudential Borrower-Based Measures in Lithuania,"Mantas Dirma, Jaunius Karmelavičius","Despite having introduced borrower-based measures (BBM), Lithuania's housing and mortgage markets were booming during the low-interest-rate period, casting doubt on the macroprudential toolkit's ability to contain excessive mortgage growth. This paper assesses the adequacy of BBMs’ parametrization in Lithuania. We do so by building a novel lifetime expected credit loss framework that is founded on actual loan-level default and household income data. We show that the BBM package effectively contains mortgage credit risk and that housing loans are more resilient to stress than in the preregulatory era. Our BBM limit calibration exercise reveals that (1) in the low-rate environment, income-based measures could have been tighter; and (2) borrowers taking out secondary mortgages rightly are and should be required to pledge a higher down payment.",https://www.imf.org/en/Publications/WP/Issues/2023/10/27/Micro-Assessment-of-Macroprudential-Borrower-Based-Measures-in-Lithuania-540987,WPIEA2023227,"Fri, 27 Oct 2023 ",IMF,10/30/2023
Public Support for Climate Change Mitigation Policies: A Cross Country Survey,"Era Dabla-Norris, Salma Khalid, Giacomo Magistretti, Alexandre Sollaci","Building public support for climate mitigation is a key prerequisite to making meaningful strides toward decarbonization and achieving net-zero emissions. Using nationally representative, individual-level surveys for 28 countries, this paper identifies the current levels and drivers of support for climate mitigation policies. Controlling for individual characteristics, we find that pre-existing beliefs about policy efficacy, perceived costs and co-benefits (e.g., cleaner air), and the degree of policy progressivity are important drivers of support for carbon pricing policies. The knowledge gap about climate mitigation policies can be large, but randomized information experiments show that support increases (decreases) after individuals are introduced to new information on the benefits (potential costs) of such policies.",https://www.imf.org/en/Publications/WP/Issues/2023/10/27/Public-Support-for-Climate-Change-Mitigation-Policies-A-Cross-Country-Survey-540823,WPIEA2023223,"Fri, 27 Oct 2023 ",IMF,10/30/2023
Semiparametric Conditional Factor Models: Estimation and Inference,"Qihui Chen, Nikolai Roussanov, Xiaoliang Wang","This paper introduces a simple and tractable sieve estimation of semiparametric conditional factor models with latent factors. We establish large-N-asymptotic properties of the estimators without requiring large T. We also develop a simple bootstrap procedure for conducting inference about the conditional pricing errors as well as the shapes of the factor loading functions. These results enable us to estimate conditional factor structure of a large set of individual assets by utilizing arbitrary nonlinear functions of a number of characteristics without the need to pre-specify the factors, while allowing us to disentangle the characteristics' role in capturing factor betas from alphas (i.e., undiversifiable risk from mispricing). We apply these methods to the cross-section of individual U.S. stock returns and find strong evidence of large nonzero pricing errors that combine to produce arbitrage portfolios with Sharpe ratios above 3. We also document a significant decline in apparent mispricing over time.",https://www.nber.org/papers/w31817,31817,Oct-23,NBER,10/30/2023
Social Insurance and Migration: Evidence from a Nation-Wide Institutional Reform in China,"Fanghua Li, Chenyang Ji, Moshe Buchinsky","In this paper we examine the causal relationship between formal social insurance and individuals’ migration decisions. We exploit a quasi experimental design in rural China, under which county officials were assigned to a group of villages (i.e., treated villages) to serve as village supervisors (VSs) for the local leaders. We show that this led to reduced favoritism in welfare allocation by the local leaders, thereby increasing the efficacy in the formal social insurance in the treated villages. We use detailed geo-referenced administrative household-level data suited for a spatial regression discontinuity design (RDD) to obtain an average treatment effect (LATE) of the improved social insurance on migration. The apparent variation in the implementation of the reform across treated villages and heterogeneous impacts on different family clans make it possible to directly link changes in the efficacy of the insurance to migration choices. We find a large positive migration effect, of about 19%, for the young males and females. In turn, this led to a large boost in the average household’s income in just two years.",https://www.nber.org/papers/w31819,31819,Oct-23,NBER,10/30/2023
"Social Unrests and Fuel Prices: The Role of Macroeconomic, Social and Institutional Factors","Alassane Drabo, Kodjovi M. Eklou, Patrick A. Imam, Kangni R Kpodar","This paper investigates the impact of fuel price increases on social unrests in addition to the macroeconomic, social and institutional factors driving this relationship. Using the IV fixed-effect estimator on a sample of 101 developing countries during 2001-2020, we find that changes in fuel prices are positively associated with the number of social unrests, mainly anti-government demonstrations. This impact is however amplified: (i) during economic downturns and periods of high exchange rate instability; (ii) when government spending is low, especially on health and education, thus suggesting that streamlining fuel subsides and diverting parts of the reform savings to the health and education sectors is an appropriate policy that could appease social tensions; (iii) in countries with high income inequality, low institutional quality and high level of corruption. The results are robust to a battery of tests, including the use of an instrumental variable approach to address reverse causality concerns given that social unrests could also prompt a freeze in fuel prices. We also find consistent results using either changes in diesel or gasoline prices. Overall, the findings of the paper provide support to the grievance and deprivation theory in explaining the association between fuel price increases and social unrests, but fail to find evidence for the resource theory and the theory of political opportunities.",https://www.imf.org/en/Publications/WP/Issues/2023/10/27/Social-Unrests-and-Fuel-Prices-The-Role-of-Macroeconomic-Social-and-Institutional-Factors-539677,WPIEA2023228,"Fri, 27 Oct 2023 ",IMF,10/30/2023
The effect of monetary policy on inflation heterogeneity along the income distribution,"Miguel Ampudia, Michael Ehrmann, Georg Strasser","This paper studies the effect of monetary policy on inflation along the income distributionin several euro area countries. It shows that monetary policy has differential effects and identifies twochannels which point in opposite directions. On the one hand, different consumption shares imply thatthe inflation experienced by high-income households responds less to monetary policy. On the otherhand, the paper provides novel evidence that there are substantial differences in shopping behaviourand its reaction to monetary policy, which imply that the inflation experienced by high-income householdsresponds more to monetary policy.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2858~bccf5beb84.en.pdf?3762af27e1f1d51e44dc5f9bde9ade59,2858,30-Oct-23,ECB,10/30/2023
The Impact of the Global COVID-19 Vaccination Campaign on All-Cause Mortality,"Virat Agrawal, Neeraj Sood, Christopher M. Whaley","The global COVID-19 vaccination campaign is the largest public health campaign in history, with over 2 billion people fully vaccinated within the first 8 months. Nevertheless, the impact of this campaign on all-cause mortality is not well understood. Leveraging the staggered rollout of vaccines, we find that the vaccination campaign across 141 countries averted 2.4 million excess deaths, valued at $6.5 trillion. We also find that an equitable counterfactual distribution of vaccines, with vaccination in each country proportional to its population, would have saved roughly 670,000 more lives. However, this distribution approach would have reduced the total value of averted deaths by $1.8 trillion due to redistribution of vaccines from high-income to low-income countries.",https://www.nber.org/papers/w31812,31812,Oct-23,NBER,10/30/2023
The Topography of Nations,Treb Allen,"How does the interplay of geography and political-economic forces affect the shape of nations? This paper presents a quantitative framework for characterizing the equilibrium evolution of national boundaries in a world with a rich geography. The framework delivers simple equilibrium conditions based on the efficient transportation of resources that arise from disparate political economic micro-foundations. I characterize the existence, uniqueness, and efficiency of the equilibrium and provide a simple algorithm for its calculation. When combined with detailed spatial geography data from Europe, the equilibrium conditions well approximate observed borders, and the framework is able to successfully predict the evolution of national boundaries and resulting conflict over the past millennia. Finally, I apply the framework to ask how the changing spatial distribution of resources arising from climate change may alter European borders in the future, finding that the Crimean peninsula and surrounding area is especially susceptible.",https://www.nber.org/papers/w31795,31795,Oct-23,NBER,10/30/2023
Using Macro Counterfactuals to Assess Plausibility: An Illustration using the 2001 Rebate MPCs,"Jacob Orchard, Valerie A. Ramey, Johannes Wieland","Macroeconomics has increasingly adopted tools from the applied micro “credibility revolution” to estimate micro parameters that can inform macro questions. In this paper, we argue that researchers should take advantage of this confluence of micro and macro to take the credibility revolution one step further. We argue that researchers should assess the plausibility of the micro estimates and macro models by constructing macro counterfactuals for historical periods and comparing these counterfactuals with reasonable benchmarks. We illustrate this approach by conducting a case study of the 2001 U.S. tax rebates, as well as briefly summarizing two previous applications of the methodology. In the 2001 rebate case, we calibrate a two-good, two-agent New Keynesian model with the leading estimates of the household marginal propensity to consume (MPC) out of the rebates to construct a counterfactual path for nondurable consumption. The counterfactual path implies that without the tax rebate nondurable consumption spending would have fallen dramatically in the late summer and fall of 2001. Using forecasting regressions and other evidence, we argue that this counterfactual is implausible. When we investigate the source of the discrepancy, we find that the leading MPC estimates are not representative of the response of total consumption.",https://www.nber.org/papers/w31808,31808,Oct-23,NBER,10/30/2023
Value Added Tax in the Extractive Industries,"Artur Swistak, Nate Vernon","Lower capacity countries often struggle to administer the Value Added Tax (VAT) in the extractive industries, partly due to the large VAT refunds needs of this capital and export-intensive sector. Assuming that the first-best policy (apply the standard VAT to the extractive industry) is not possible in the medium-term, what should countries do? This paper systemically analyzes second-best VAT policy designs considering the impact of the VAT on three key stakeholders: the investor, domestic suppliers, and the tax administration. The analysis concludes that the generally preferred policy is to provide a VAT exemption for imports and either fully tax or exempt domestic supplies, although country characteristics (and, specifically the relative weighting of stakeholders) matter. Moreover, governments should make efforts to shorten refund delays and transition to a standard VAT over the longer-term.",https://www.imf.org/en/Publications/WP/Issues/2023/10/27/Value-Added-Tax-in-the-Extractive-Industries-540826,WPIEA2023221,"Fri, 27 Oct 2023 ",IMF,10/30/2023
Wars and the Labor Market Outcomes of Minorities in the U.S.,Andreas Ferrara,"This chapter reviews key literature studying the effects of wars on minority and underrepresented groups in U.S. labor markets in the 20th century. These labor markets, characterized by historically pervasive barriers to entry into certain occupations and industries, promotions, and fair pay for underrepresented workers, experienced severe challenges during times of war. These challenges served to break down some of the barriers faced by underrepresented workers. Recent years have shown that sudden labor shortages, similar to those induced by large-scale wars, are not a feature of the past. Hence, a better understanding of such shortages and their effects on different groups continues to be important. The focus here is on the labor market outcomes of Black and white women, as well as Black men, during and after the two World Wars. Their labor inputs compensated for the lack of white male workers during the war years; however, only WWII generated significant and more prolonged socioeconomic progress for both groups. This chapter summarizes theoretical considerations that can explain why some war-induced labor market shocks are persistent while others are not, and the empirical literature related to the labor market experiences of women and Black workers during and after the World Wars.",https://www.nber.org/papers/w31811,31811,Oct-23,NBER,10/30/2023
When Institutions Interact: How the Effects of Unemployment Insurance are Shaped by Retirement Policies,"Matthew Gudgeon, Pablo Guzman, Johannes F. Schmieder, Simon Trenkle, Han Ye","This paper shows empirically that the non-employment effects of unemployment insurance (UI) for older workers depend in a first-order way on the structure of retirement policies. Using German data, we first present reduced-form evidence of these interactions, documenting large bunching in UI inflows at the age that allows workers to claim their pension following UI expiration. We then estimate a dynamic life-cycle model and use it to directly quantify how the effects of UI vary with retirement policies. Accounting for interactions across UI and retirement institutions also helps explain otherwise difficult-to-explain trends in the unemployment rate of older German workers.",https://www.nber.org/papers/w31807,31807,Oct-23,NBER,10/30/2023
Why Is Tunisia’s Unemployment So High? Evidence From Policy Factors,"Aymen Belgacem, Jérôme Vacher","Tunisia has one of the highest unemployment rates within the Middle East and Central Asia. We look at the extent to which institutional factors explain those high unemployment levels. We also assess unemployment cyclicality, by looking at the determinants of labor market sensitivity to the output gap. We find that during the last decade the deterioration of institutional factors that affect labor demand explain not only about a quarter of the unemployment rate increase in Tunisia, but also Tunisia’s excess sensitivity of unemployment to the output gap. Our results suggest that an improved business environment and product market competition, increased labor market flexibility as well as reduced financial constraints and informality would help reduce Tunisia’s unemployment.",https://www.imf.org/en/Publications/WP/Issues/2023/10/27/Why-Is-Tunisias-Unemployment-So-High-Evidence-From-Policy-Factors-539628,WPIEA2023219,"Fri, 27 Oct 2023 ",IMF,10/30/2023
